avg(density),avg(temperature),avg(velocity (2)),Time
0.9999,0.05,0,0
0.999900102756,0.05,0,1
0.999900236524,0.05,0,2
0.999900401461,0.05,2.77583403058e-17,3
0.999900597618,0.05,5.55166697205e-18,4
0.99990082498,0.05,6.62730094094e-17,5
0.999901083486,0.05,3.99025869723e-17,6
0.999901373049,0.05,-7.6335361667e-17,7
0.999901693556,0.05,4.37193294864e-17,8
0.999902044878,0.05,-3.46978683535e-18,9
0.999902426872,0.05,-1.83898632018e-17,10
0.999902839385,0.05,1.38791363132e-17,11
0.999903282248,0.05,3.50448036693e-17,12
0.999903755287,0.05,9.09082595805e-17,13
0.999904258314,0.05,-2.77582332357e-18,14
0.999904791134,0.05,-6.38439024215e-17,15
0.999905353541,0.05,-3.50447310744e-17,16
0.99990594532,0.05,-2.25535264524e-17,17
0.999906566247,0.05,9.54187065065e-17,18
0.99990721609,0.05,1.31851217846e-16,19
0.999907894606,0.05,6.41906809191e-17,20
0.999908601545,0.05,-1.38790563321e-17,21
0.999909336648,0.05,-5.89859460468e-17,22
0.999910099646,0.05,5.23933591561e-17,23
0.999910890262,0.05,1.85631953544e-16,24
0.999911708213,0.05,1.24911118896e-16,25
0.999912553203,0.05,4.30249045943e-17,26
0.999913424933,0.05,6.93949469113e-18,27
0.999914323092,0.05,6.93948845782e-17,28
0.999915247362,0.05,9.71527486064e-17,29
0.999916197418,0.05,-1.90835574871e-17,30
0.999917172926,0.05,-5.55157494383e-17,31
0.999918173546,0.05,-7.11294827884e-17,32
0.999919198929,0.05,1.9083500203e-17,33
0.999920248718,0.05,-3.12275130018e-18,34
0.99992132255,0.05,9.95809622972e-17,35
0.999922420055,0.05,5.86382026365e-17,36
0.999923540855,0.05,-2.77576979455e-18,37
0.999924684566,0.05,5.20456241181e-17,38
0.999925850796,0.05,-3.81667465054e-17,39
0.999927039146,0.05,-1.66545605003e-16,40
0.999928249213,0.05,-7.28636140127e-17,41
0.999929480585,0.05,9.71513657121e-17,42
0.999930732846,0.05,8.88239945553e-17,43
0.999932005571,0.05,-1.39481251417e-16,44
0.999933298332,0.05,-6.10663395811e-17,45
0.999934610692,0.05,3.15740318669e-17,46
0.999935942212,0.05,-1.15886951657e-16,47
0.999937292445,0.05,-1.73136259854e-16,48
0.999938660939,0.05,-1.37051561216e-16,49
0.999940047236,0.05,-1.38439233198e-16,50
0.999941450875,0.05,-1.42255653974e-16,51
0.999942871389,0.05,-1.38438842202e-16,52
0.999944308305,0.05,-9.74968891169e-17,53
0.999945761147,0.05,-1.39132369153e-16,54
0.999947229434,0.05,-7.1127415949e-17,55
0.999948712681,0.05,-3.46962489971e-17,56
0.999950210398,0.05,-5.5513915247e-17,57
0.999951722091,0.05,1.24906120477e-17,58
0.999953247263,0.05,1.37396522961e-16,59
0.999954785414,0.05,4.92683743669e-17,60
0.999956336039,0.05,-1.54397130952e-16,61
0.999957898629,0.05,-1.30109738497e-16,62
0.999959472674,0.05,-1.73479378253e-18,63
0.999961057659,0.05,7.4942972617e-17,64
0.999962653068,0.05,-1.0061771937e-17,65
0.999964258382,0.05,-6.69627195287e-17,66
0.999965873077,0.05,-1.43986962338e-16,67
0.999967496629,0.05,-9.50659364469e-17,68
0.999969128513,0.05,-1.11025729992e-16,69
0.999970768199,0.05,-1.4572103167e-16,70
0.999972415156,0.05,-1.73477132937e-16,71
0.999974068853,0.05,-1.0061657071e-16,72
0.999975728756,0.05,-8.3268747883e-17,73
0.999977394331,0.05,-3.12257284461e-18,74
0.99997906504,0.05,2.08171175173e-17,75
0.999980740347,0.05,-4.1634165283e-17,76
0.999982419714,0.05,-6.90432081433e-17,77
0.999984102602,0.05,3.95523240313e-17,78
0.999985788473,0.05,-2.39395241857e-17,79
0.999987476787,0.05,4.85728656157e-17,80
0.999989167005,0.05,6.27976701172e-17,81
0.999990858588,0.05,1.00961829236e-16,82
0.999992550996,0.05,3.98989371548e-17,83
0.999994243691,0.05,-7.28588053888e-17,84
0.999995936135,0.05,-1.61329938889e-16,85
0.99999762779,0.05,-1.83881124658e-16,86
0.99999931812,0.05,-2.69576211985e-16,87
1.00000100659,0.05,-1.90819390281e-17,88
1.00000269266,0.05,7.97970650283e-17,89
1.00000437581,0.05,4.02454085364e-17,90
1.0000060555,0.05,-2.94901205142e-17,91
1.0000077312,0.05,6.24495623251e-17,92
1.00000940238,0.05,7.11229937893e-17,93
1.00001106853,0.05,1.73470427535e-18,94
1.00001272911,0.05,-8.67350697388e-18,95
1.0000143836,0.05,3.78164278398e-17,96
1.00001603149,0.05,3.81633046567e-18,97
1.00001767227,0.05,2.02959059943e-16,98
1.00001930541,0.05,5.20406996123e-17,99
1.00002093041,0.05,1.56121845143e-17,100
1.00002254677,0.05,-8.84689025872e-17,101
1.00002415397,0.05,9.02034419795e-18,102
1.00002575153,0.05,-4.16322913284e-17,103
1.00002733894,0.05,2.08161126213e-17,104
1.00002891571,0.05,-1.73467331666e-17,105
1.00003048136,0.05,-2.4285388412e-17,106
1.0000320354,0.05,-9.67944691097e-17,107
1.00003357736,0.05,1.94282505817e-17,108
1.00003510675,0.05,5.55092024838e-17,109
1.0000366231,0.05,3.12238790522e-18,110
1.00003812596,0.05,-3.469314681e-19,111
1.00003961486,0.05,1.42588621097e-16,112
1.00004108934,0.05,1.54384045823e-16,113
1.00004254896,0.05,1.24894776128e-16,114
1.00004399326,0.05,1.66526127667e-16,115
1.00004542181,0.05,1.8734162601e-16,116
1.00004683417,0.05,-2.15095637195e-17,117
1.00004822992,0.05,2.7754237031e-17,118
1.00004960863,0.05,2.60195613448e-17,119
1.00005096989,0.05,1.85952878628e-16,120
1.00005231327,0.05,2.15094458726e-16,121
1.00005363839,0.05,1.09281717291e-16,122
1.00005494484,0.05,-3.46925633423e-17,123
1.00005623222,0.05,-3.98963964845e-17,124
1.00005750016,0.05,-1.10668994283e-16,125
1.00005874827,0.05,-2.60193235495e-17,126
1.00005997618,0.05,-4.64878009955e-17,127
1.00006118353,0.05,1.9809330091e-16,128
1.00006236995,0.05,1.05811532574e-16,129
1.0000635351,0.05,1.14484475631e-16,130
1.00006467864,0.05,3.46922256736e-18,131
1.00006580022,0.05,2.08153120596e-17,132
1.00006689952,0.05,-5.20382229473e-17,133
1.00006797621,0.05,-5.51604569373e-17,134
1.00006902998,0.05,-2.34518425149e-16,135
1.00007006053,0.05,-8.84646993911e-17,136
1.00007106755,0.05,-7.146552833e-17,137
1.00007205076,0.05,3.46919699367e-17,138
1.00007300987,0.05,-5.55070986653e-17,139
1.0000739446,0.05,2.77535233923e-17,140
1.0000748547,0.05,2.08151236019e-17,141
1.00007573989,0.05,6.93836839263e-18,142
1.00007659994,0.05,-2.77534497031e-17,143
1.00007743459,0.05,-6.93835663509e-17,144
1.00007824362,0.05,-8.36071298176e-17,145
1.0000790268,0.05,1.0407518383e-16,146
1.00007978391,0.05,-4.16300420161e-17,147
1.00008051474,0.05,-8.15254393716e-17,148
1.00008121909,0.05,-1.59581598717e-16,149
1.00008189678,0.05,-6.97301730575e-17,150
1.00008254762,0.05,-9.85241605005e-17,151
1.00008317144,0.05,3.67730792209e-17,152
1.00008376806,0.05,-8.46474148777e-17,153
1.00008433735,0.05,4.85681612176e-17,154
1.00008487914,0.05,-4.16298299194e-17,155
1.0000853933,0.05,9.01979184529e-17,156
1.0000858797,0.05,-4.85680863145e-17,157
1.00008633823,0.05,4.47520018716e-17,158
1.00008676876,0.05,-1.23154680815e-16,159
1.00008717121,0.05,-1.38765781698e-16,160
1.00008754546,0.05,-1.68600361668e-16,161
1.00008789145,0.05,-2.42839943082e-17,162
1.00008820909,0.05,2.84469557259e-17,163
1.00008849833,0.05,1.31480403683e-16,164
1.00008875909,0.05,1.21419866201e-17,165
1.00008899134,0.05,1.50907512948e-16,166
1.00008919504,0.05,1.07543263185e-16,167
1.00008937015,0.05,1.38418562895e-16,168
1.00008951667,0.05,6.93827281286e-18,169
1.00008963456,0.05,1.54376551887e-16,170
1.00008972384,0.05,-4.68333317849e-17,171
1.00008978451,0.05,1.24888877183e-16,172
1.00008981659,0.05,5.6893820003e-17,173
1.0000898201,0.05,6.73012258649e-17,174
1.00008979508,0.05,-5.06493774337e-17,175
1.00008974156,0.05,2.11617273204e-17,176
1.00008965961,0.05,-6.97296318026e-17,177
1.00008954928,0.05,-1.52988910534e-16,178
1.00008941064,0.05,-6.62605123873e-17,179
1.00008924378,0.05,-8.18716415315e-17,180
1.00008904877,0.05,-2.26187799522e-16,181
1.00008882572,0.05,-1.23501341394e-16,182
1.00008857474,0.05,-9.36667711933e-17,183
1.00008829592,0.05,1.00605078588e-17,184
1.00008798941,0.05,-1.30439728078e-16,185
1.00008765533,0.05,-6.59137143986e-17,186
1.00008729382,0.05,-1.30092904391e-16,187
1.00008690503,0.05,-6.41791911165e-17,188
1.00008648912,0.05,-1.54030122737e-16,189
1.00008604625,0.05,-1.80395719127e-17,190
1.0000855766,0.05,-2.74062855838e-17,191
1.00008508034,0.05,8.67287948834e-18,192
1.00008455768,0.05,-1.64784796398e-16,193
1.0000840088,0.05,6.93831102473e-18,194
1.00008343392,0.05,9.22795896744e-17,195
1.00008283324,0.05,-2.39372011725e-17,196
1.000082207,0.05,-1.31481230801e-16,197
1.00008155543,0.05,-6.59141164333e-17,198
1.00008087875,0.05,-1.76927484876e-16,199
1.00008017722,0.05,-1.82131362191e-16,200
1.00007945109,0.05,-2.18210876186e-16,201
1.00007870062,0.05,4.37115914652e-17,202
1.00007792608,0.05,-2.49780716108e-16,203
1.00007712775,0.05,-1.54378482497e-16,204
1.00007630591,0.05,-1.02340875869e-16,205
1.00007546084,0.05,2.42842961502e-17,206
1.00007459285,0.05,1.23503099041e-16,207
1.00007370224,0.05,3.1222721383e-18,208
1.00007278932,0.05,-2.35905221351e-16,209
1.00007185441,0.05,-1.54726216296e-16,210
1.00007089783,0.05,-5.03034144002e-17,211
1.00006991992,0.05,-4.16304526257e-17,212
1.000068921,0.05,-1.73113471749e-16,213
1.00006790142,0.05,-5.51604610622e-17,214
1.00006686154,0.05,-2.63660339612e-17,215
1.0000658017,0.05,2.46314525673e-17,216
1.00006472228,0.05,-6.41806146956e-17,217
1.00006362363,0.05,1.04423709439e-16,218
1.00006250612,0.05,4.68346064018e-17,219
1.00006137014,0.05,-9.88731702701e-17,220
1.00006021607,0.05,-1.40504140946e-16,221
1.0000590443,0.05,9.05472191484e-17,222
1.00005785523,0.05,-4.8569447331e-17,223
1.00005664924,0.05,-1.31831516019e-16,224
1.00005542675,0.05,-1.8387049711e-16,225
1.00005418816,0.05,5.37735138674e-17,226
1.00005293389,0.05,-5.41205076415e-17,227
1.00005166435,0.05,-4.75289676884e-17,228
1.00005037997,0.05,-6.90385161853e-17,229
1.00004908118,0.05,9.02011935702e-17,230
1.00004776839,0.05,1.12751639974e-16,231
1.00004644205,0.05,2.445846511e-16,232
1.0000451026,0.05,1.62709723415e-16,233
1.00004375047,0.05,2.28973481131e-16,234
1.00004238611,0.05,2.02954044256e-16,235
1.00004100998,0.05,2.4285132731e-16,236
